book,author,year,publisher
"The Law of Love","Laura Esquivel","1997","Three Rivers Press (CA)"
"Undercurrents","Frances Fyfield","2001","Viking Penguin Inc"
"Swept Away","Cay David","1992","Meteor Publishing Corporation"
"Interesting Women: Stories","Andrea Lee","2002","Random House"
"Sweet Revenge","Kate Clemens","2004","Kensington Publishing Corporation"
"Somewhere, Someday","Josephine Cox","2001","Trafalgar Square"
"Living by the Word: Selected Writings 1973-1987","Alice Walker","1989","Harvest Books"
"Hinds\' Feet on High Places","Hannah Hurnard","1993","Tyndale House Publishers"
"By Possession","Madeline Hunter","2000","Bantam Books"
"The Love of a Cowboy","Anna Jeffrey","2003","Onyx Books"
"Something Big Has Been Here","Jack Prelutsky","1990","Greenwillow"
"King Rat","China Mieville","2000","Tor Books"
"And the Band Played on: Politics, People, and the AIDS Epidemic","Randy Shilts","1987","St Martins Pr"
"The Horus Killings","P. C. Doherty","2000","Thomas Dunne Books"
"The Prayer of Jabez for Women","Darlene Marie Wilkinson","2002","Multnomah"
"Love You Forever","Robert N. Munsch","1986","Firefly Books Ltd"
"Passion Play","Sean Stewart","1996","Ace Books"
"The Ship Who Searched","Anne McCaffrey","1992","Baen"
"The Killing Game","Iris Johansen","1999","Bantam Dell Pub Group"
"Pale Blue Dot: A Vision of the Human Future in Space","Carl Sagan","1997","Ballantine Books"
"Listeners","Christopher Pike","1998","Tor Books (Mm)"
"The Price of a Child","Lorene Cary","1996","Vintage Books USA"
"The Piano Man\'s Daughter","Timothy Findley","1995","HarperCollins Publishers"
"The Antelope Wife","Louise Erdrich","1998","HarperCollins Publishers"
"Getting Her Man","Michele Albert","2002","Avon"
"Destiny Unleashed","Sherryl Woods","2004","Mira"
"Seeing Voices: A Journey into the World of the Deaf","Oliver W. Sacks","2000","Vintage Books USA"
"Bananas Can\'t Fly!","Des O\'Connor","2002","Headline"
"Fitness for Dummies","Suzanne Schlosberg","1996","For Dummies"
"The Dosadi Experiment","Frank Herbert","1981","Berkley Publishing Group"
"A Rogue in Texas","Lorraine Heath","1999","Avon"
"The Way We Never Were: American Families and the Nostalgia Trap","Stephanie Coontz","1992","Perseus Books Group"
"Fatal Cure","Robin Cook","1997","Berkley Publishing Group"
"Amantes y Enemigos: Cuentos de Parejas","Rosa Montero","1998","Schoenhof Foreign Books Inc"
"Case of the Missing Bronte","Robert Barnard","1984","Dell Publishing Company"
"Tending Lives: Nurses on the Medical Front","Echo Heron","1998","Ballantine Books"
"The Cat Who Went to Paris","Peter Gethers","1996","Ballantine Books"
"The Pickwick Papers","Charles Dickens","1991","Heinemann (Tx)"
"Where Is the Mango Princess?","C. E. Crimmins","2000","Alfred A. Knopf"
"The Hot Zone","Richard Preston","1999","Anchor Pub"
"Aftershocks","Catherine Coulter","1993","Silhouette"
"Great Cat Tales","Lesley O\'Mara","1990","Pub Group West"
"Starcarbon","Ellen Gilchrist","0","Faber Faber Inc"
"Thurston House","Danielle Steel","1984","Dell"
"The Writer\'s Idea Book","Jack Heffron","2002","Writer\'s Digest Books"
"The Cat Who Moved a Mountain","Lilian Jackson Braun","1992","Audio Literature"
"Stormbreaker","Anthony Horowitz","2002","Penguin USA"
"Adrian Mole, the wilderness years","Sue Townsend","1993","Methuen"
"L.A. Confidential","James Ellroy","1991","Warner Books"
"Mientras Escribo","Stephen King","2001","Downtown Book Center"
"The Winston Brothers","Lori Foster","2001","Jove Books"
"Corruption of Blood","Robert K. Tanenbaum","1996","Signet Book"
"Murder in the House","Margaret Truman","1997","Random House Inc"
"Sister of My Heart","Chitra Banerjee Divakaruni","2000","Anchor Pub"
"Der Gesang der Toten. Unheimliche Geschichten.","Stephen King","1986","Heyne"
"Way of the Bull","Leo Buscaglia","1983","Ballantine Books"
"The Panda\'s Thumb","Stephen Jay Gould","1982","W.W. Norton &amp; Company Ltd"
"Prince Ombra","Roderick MacLeish","2002","Starscape Books"
"No Greater Love","Danielle Steel","1991","Delacorte Press"
"Growing Up Weightless","John M. Ford","1993","Bantam Dell Pub Group"
"A Graveyard for Lunatics: Another Tale of Two Cities","Ray Bradbury","1992","Bantam Dell Pub Group"
"Blood Test","Jonathan Kellerman","1987","Signet Book"
"The Mixed-Up Chameleon","Eric Carle","1993","HarperCollins Publishers"
"God Game","Andrew M. Greeley","1986","Warner Books"
"Where Is God When It Hurts?","Philip Yancey","2001","Zondervan Publishing Company"
"Como Una Novela","Daniel Pennac","1995","Anagrama"
"The Christmas Train","David Baldacci","2002","Warner Books"
"Strangers on a Train","Patricia Highsmith","2001","W.W. Norton &amp; Company"
"Gatekeeper","Philip Shelby","1999","Pocket"
"Between Friends","Mickey Pearlman","1994","Houghton Mifflin Co"
"The Deadhouse","Linda Fairstein","2002","Pocket"
"Secrets of a Perfect Night: Scandalous Lord Dere/ The Last Love Letter/ Now and Forever","Stephanie Laurens","2000","Avon"
"B-More Careful","Shannon Holmes","2001","Teri Woods Publishing"
"Daggerspell","Katharine Kerr","1993","Bantam"
"The Handyman","Carolyn See","1999","Random House Trade"
"October Song","Beverly Lewis","2001","Bethany House Publishers"
"Wild Seed","Octavia E. Butler","1999","Aspect"
"Beach Roses","Jean Stone","2003","Bantam Books"
"A Marriage Made in Heaven... or Too Tired for an Affair","Erma Bombeck","1993","Harpercollins"
"You Don\'t Know Me","David Klass","2002","HarperTempest"
"When You Look Like Your Passport Photo, It\'s Time to Go Home","Erma Bombeck","1992","HarperTorch"
"Dave Barry\'s Bad Habits a 100% Fact-Free Book","Dave Barry","1993","Henry Holt &amp; Company"
"Without Fail","Lee Child","2003","Jove Books"
"The Faded Sun Trilogy","C. J. Cherryh","2000","Daw Books"
"The Book of Bunny Suicides","Andy Riley","2003","Plume Plume"
"Isaac Asimov\'s Book of Facts: 3,000 Of the Most Interesting, Entertaining, Fascinating, Unbelievable, Unusual and Fantastic Facts","Isaac Asimov","1991","Gramercy Books"
"Guilty Pleasures","Barbara Bretton","1996","Mira"
"The Free Lunch","Spider Robinson","2002","Tor Science Fiction"
"Bundori","Laura Joh Rowland","2001","HarperTorch"
"Rolling Thunder","Cassie Edwards","1996","Topaz"
"Mr. Timothy","Louis Bayard","2003","HarperCollins"
"Die Mambo Kings spielen Songs der Liebe. Roman.","Oscar Hijuelos","1992","Fischer (Tb.), Frankfurt"
"The Brethren","John Grisham","2000","Island"
"Welcome to Temptation","Jennifer Crusie","2001","St. Martin\'s Paperbacks"
"In Our Humble Opinion: Car Talk\'s Click and Clack Rant and Rave","Tom Magliozzi","2001","Perigee Books"
"Affluenza: The All-Consuming Epidemic","John De Graaf","2002","Berrett-Koehler Publishers"
"Goodnight, Irene","Jan Burke","2002","Pocket"
"False Memory","Dean R. Koontz","2000","Bantam Books"
"Homeland and Other Stories","Barbara Kingsolver","1990","Perennial"
"Couplehood","Paul Reiser","1994","Bantam Dell Pub Group"
"McNally\'s Caper","Lawrence Sanders","1994","Putnam Pub Group"
"Wish List","Jeane Renick","1996","Harper Mass Market Paperbacks (Mm)"
"Further Tales of the City","Maupin","0","Not Avail"
"Love Beyond Reason","John Ortberg","2001","Zondervan Publishing Company"
"Black Dogs","Ian McEwan","1998","Vintage"
"Beaming Sonny Home","Cathie Pelletier","1997","Pocket"
"The Nonesuch","Georgette Heyer","2000","Harlequin"
"Dream Man","Linda Howard","1998","Pocket"
"The Hero and the Crown","Robin McKinley","1984","Greenwillow"
"Dalai Lama, My Son: A Mother\'s Story","Diki Tsering","2001","Compass Books"
"Clouds of Witness","Dorothy Sayers","0","Avon Books"
"On the Black Hill","Bruce Chatwin","1994","Penguin Books"
"The Return of the Indian","Lynne Reid Banks","1995","Harpercollins Juvenile Books"
"Chosen Prey","John Sandford","2004","Berkley Publishing Group"
"Blessing Way","Tony Hillerman","1983","Harper Mass Market Paperbacks (Mm)"
"The Girl at the End of the Line","Charles Mathes","1999","St. Martin\'s Minotaur"
"Gideon\'s Torch","Charles Colson","1995","Thomas Nelson Inc"
"Guilty by Reason of Insanity: A Psychiatrist Explores the Minds of Killers","Dorothy Otnow Lewis","1999","Ivy Books"
"Le Combat ordinaire, tome 1","Larcenet","2003","Dargaud"
"Chase the Moon","Sharon Sala","1997","HarperTorch"
"Hard Fall","Ridley Pearson","2001","Hyperion Press"
"Jesus I Never Knew, The","Philip Yancey","1995","Nelson Books"
"Mrs. Pollifax Pursued","Dorothy Gilman","1995","Ballantine Books"
"A Perfect Arrangement","Ellen Rawlings","1992","Diamond Books (NY)"
"Looking at the Moon","Amanda Marie Clark","2003","PublishAmerica"
"Ein Gott der Frechheit.","Sten Nadolny","1996","Piper"
"The English Governess at the Siamese Court","Anna Leonowens","1999","Tor Books"
"Martha Speaks","Susan Meddaugh","1995","Houghton Mifflin/Walter Lorraine Books"
"The Collected Strangers In Paradise","Terry Moore","1994","Abstract Studio, Incorporated"
"Three Fates","Nora Roberts","2003","Brilliance Audio"
"The Age of Miracles","Guy Williams","1987","Academy Chicago Publishers"
"The Matarese Circle","Robert Ludlum","1983","Bantam Books"
"Satan Speaks!","Anton Szandor LA Vey","1998","Feral House"
"Golden Cup","Belva Plain","1987","Dell"
"Pippi Goes on Board","Astrid Lindgren","1988","Penguin USA"
"Angry Candy","Harlan Ellison","1998","Houghton Mifflin Co"
"Death in Holy Orders","P. D. James","2003","Ballantine Books"
"He\'s Got to Go","Sheila O\'Flanagan","2004","Downtown Press"
"The Woods Out Back","R. A. Salvatore","1996","Ace Books"
"Century of Great Suspense Stories","Jeff Deaver","2001","Prime Crime"
"No Night Is Too Long","Barbara Vine","1996","Onyx Books"
"Dear James","Jon Hassler","1995","Ballantine Books"
"Are You the One for Me?: Knowing Who\'s Right and Avoiding Who\'s Wrong","Barbara De Angelis","1993","Dell Publishing Company"
"Swear by the Moon","Shirlee Busbee","2001","Warner Books"
"Die Verzauberung der Lily Dahl.","Siri Hustvedt","1997","Rowohlt, Reinbek"
"The Potato: How the Humble Spud Rescued the Western World","Larry Zuckerman","1999","North Point Press"
"St. Patrick\'s Gargoyle","Katherine Kurtz","2002","Ace Books"
"Bloodsucking Fiends","Christopher Moore","2004","Perennial"
"The Persian Pickle Club","Sandra Dallas","1996","St. Martin\'s Griffin"
"In the Hour Before Midnight","Jack Higgins","1987","Dell Publishing Company"
"To Die in California","Newton Thornburg","2002","Serpent\'s Tail"
"The Great Shark Hunt","Hunter S., Md. Thompson","1982","Warner Books"
"The Map of Love","Ahdaf Soueif","2000","Trafalgar Square"
"Reflections And Dreams","Nora Roberts","2001","Silhouette"
"Baby With the Bathwater and Laughing Wild: Two Plays","Christopher Durang","1989","Grove Press"
"Souls to Keep","David L. Robbins","1998","HarperCollins Publishers"
"Case of Lucy Bending","Lawrence Sanders","1982","Putnam Pub Group"
"Cat\'s Eye","Margaret Atwood","1998","Anchor"
"Powder and Patch","Georgette Heyer","2004","Harlequin"
