name,book
"Milka","La caverna = A caverna"
"Kristine","The Breaker"
"Sanaa","Final Target"
"Aleister","The Christmas Shoes"
"Stephanie","Dragonsdawn"
"Jill","We Wish to Inform You That Tomorrow We Will be Killed With Our Families: Stories from Rwanda"
"John","A Game of Spies"
"Marion","El Alquimista Impaciente"
"Montana","Stupeur Et Tremblements"
"Kyson","The Angel of Darkness"
"Mischele","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America"
"Dallen","More Letters from a Nut"
"Norman","A Dog\'s Life"
"Kyndal","Fahrenheit 451 - T.D. -"
"Madelyn","To Sir Phillip, With Love"
"Aaron","The Secret Adversary"
"James","Indigo Dying"
"Allisson","Urban Tribes: A Generation Redefines Friendship, Family, and Commitment"
"Darlyne","The Secret Life of Bees"
"October","City of Bones"
"Kirsten","The Beach House"
"Desmond","Women in Their Beds: New and Selected Stories"
"Liam","365 Ways to Cook Chicken"
"Sofia","Are You Experienced?"
"Arlene","The Oxford Companion to Philosophy"
"Paul","The Pelican Brief"
"Dang","The Summons"
"Essence","Die unendliche Geschichte: Von A bis Z"
"Tramaine","Where the Red Fern Grows"
"Gloria","Lucky Man: A Memoir"
"Molly","The Joy Luck Club"
"Krysten","Courting Trouble"
"Kaseem","Danziger\'s Travels: Beyond Forbidden Frontiers"
"Susan","Flight Lessons"
"Clarinda","Redeeming Love"
"Jeana","Parlez-vous le Jean-Claude ?"
"Alberta","Transfer of Power"
"Francie","La Casa Degli Spiriti"
"Jannae","Manifesto of the Communist Party"
"Jerren","Olympisches Feuer."
"John","The Dream of the Broken Horses"
"William","New Morningside Papers"
"Arlee","Love Wild and Fair"
"Kalina","Feuer und Stein."
"Emil","Complete Book of Magic and Witchcraft"
"Willard","The Secret Life of Bees"
"Baby","The Physician"
"Ammon","The Secret Life of Bees"
"Tinley","Connections"
"Santina","Die Meute der Erben."
"Gary","The Further Observations of Lady Whistledown"
"Corinne","Queen of Angels"
"Makaylee","The Tenth Justice"
"Selia","The Sum of All Fears"
"Zykeria","A Trip to the Beach: Living on Island Time in the Caribbean"
"Emmalea","Private Pleasures"
"Mikhayla","Five Quarters of the Orange"
"Oliver","The Perks of Being a Wallflower"
"Jizelle","The Cider House Rules"
"Linley","One Child"
"Clarissa","Natural Causes"
"Rachael","John Le Carre: Three Complete Novels"
"Fernanda","Black Hawk Down: A Story of Modern War"
"Jakeira","Bridget Jones\'s Diary"
"Lee","Carnal Innocence"
"Jessalyn","Chopping Spree"
"Lillee","Shopaholic Ties the Knot"
"Candus","Horse Whisperer"
"Idris","For Special Services"
"Sabas","Our Dumb Century: The Onion Presents 100 Years of Headlines from America\'s Finest News Source"
"Sierra","The Alchemist: A Fable About Following Your Dream"
"Melanie","A Winter Haunting"
"Jordan","About Adam"
"James","Last Summer at Barebones"
"Myrtice","Sullivan\'s Island: A Lowcountry Tale"
"Robert","The Enchanted Land"
"Kristine","The Firm"
"Webster","Picture of Dorian Gray and Other Stories"
"Annabella","Elfquest: The Grand Quest Vol. 2"
"Caitlin","Fiddler Fair"
"Laci","Callahan\'s Cross Salon"
"Nathen","Thirty Nothing"
"Ferlin","The Power of One"
"Jeffrey","Hope for the Flowers"
"Mary","Being Dead"
"Alvaro","Beauty: A Retelling of the Story of Beauty and the Beast"
"Terel","Ten Stupid Things Women Do to Mess Up Their Lives"
"Tyler","Violets Are Blue"
"Euan","The Hunt for Red October"
"Dick","Breathing Lessons"
"Mason","The New Girls"
"Karissa","Pigs in Heaven"
"Laura","The Wicked Day"
"Karsyn","Porterhouse Blue"
"Guy","Die Falle."
"Nichole","The Purpose-Driven Life: What on Earth Am I Here For?"
"Arden","Beezus and Ramona"
"Claire","Moonseed"
"Cory","All She Wanted"
"Kinza","A Year in Provence"
"Jacklynn","Leap of Faith"
"Kathyrn","Dangerous to Know"
"Darnisha","Exercices De Style"
"Maryanne","Pashazade: The First Arabesk"
"Yanin","Coast To Coast Ghosts"
"Judene","The Brethren"
"Khristi","The Color Purple"
"Kelvin","Einstein\'s Dreams"
"James","L Is for Lawless"
"Karlen","Nimisha\'s Ship"
"Eric","Lover\'s Lane"
"Jewell","That Was Then, This Is Now"
"Helen","The Summons"
"Poppy","The Writing Life"
"Maryclare","The Last Time I Wore a Dress"
"Jalaya","Guns, Germs, and Steel: The Fates of Human Societies"
"Aliyah","Retribution"
"Rafael","Replay"
"Ronette","Fresh Eggs"
"Quentin","Void Moon"
"Mary","The Wreath Book"
"Gini","A Year in Provence"
"Sharlena","Tomorrowland: Ten Stories About The Future"
"Saydie","Help! I\'m Trapped in the First Day of School"
"Rayleen","Beware of the Haunted Toilet"
"Aaden","The Beach House"
"Kennah","Wild Animus"
"Nicole","The Green Mile"
"Janan","Das Superwieb"
"Shanise","Bridget Jones\'s Diary"
"Carol","City of Joy"
"Lesia","Brain Child"
"Katlyn","The Da Vinci Code"
"Kamyia","The Body Farm"
"Sammie","How Good Do We Have to Be?: A New Understanding of Guilt and Forgiveness"
"Damion","Mother Earth Father Sky"
"Hannah","American Fuji"
"Russell","The Last Amateurs: Playing for Glory and Honor in Division I College Basketball"
"Abram","The Hearing"
"Loretta","The Giving Tree"
"Celeste","Dreaming Water"
"Sally","The Stand: Complete and Uncut"
"Hawken","Postmortem"
"Cristina","One Writer\'s Beginnings / Eudora Welty."
"Jt","Pot Shot"
"Shilah","Desayuno En Tiffany\'s"
"Marques","Felicia\'s Journey"
"Suzanne","Danny and the Dinosaur"
"Daniel","The Vor Game"
"Tre","Mutts Sundays"
"Martha","The Day Jimmy\'s Boa Ate the Wash"
"Semira","Peace Like a River"
"Regina","Intercourses: An Aphrodisiac Cookbook"
"Lajuana","The Horse Whisperer"
"Shadman","Tis: A Memoir"
"Jahiem","Creating with Polymer Clay: Designs, Techniques, Projects"
"Kate","Corinthian"
"Breindel","Russendisko."
"Nadia","El Guardian Entre El Centeno"
"Breana","Bedford Square"
"Zoey","The Calvin and Hobbes Tenth Anniversary Book"
"Randy","A Walk in the Woods: Rediscovering America on the Appalachian Trail"
"Kamrin","Larry\'s Party"
"Scott","The Tightwad Gazette: Promoting Thrift As a Viable Alternative Lifestyle"
"Devan","The Baron in the Trees"
"Rickayla","Shinju"
"Electra","Black Odyssey: The Case of the Slave Ship Amistad"
"Lilianne","The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory"
"Trevin","Q Is for Quarry"
"Lee","Kill and Tell"
"Bradly","The Heart of a Woman"
"Newton","Red Rabbit"
"Nicolas","Box Office Poison"
"Skye","The Handmaid\'s Tale"
"Rosabel","Answer As a Man"
"Meng","Celestial Navigation"
"Kenneth","Mortal Prey"
"Lillian","A Dangerous Fortune"
"Maddix","The Persian Pickle Club"
"Carlie","Cause of Death"
"John","The Wedding Wager"
"Darryn","Tipping the Velvet"
"Robecca","From the Mixed-Up Files of Mrs. Basil E. Frankweiler"
"Pasquale","Tis: A Memoir"
"Marnie","Taltos: Lives of the Mayfair Witches"
"William","Remake"
"Bettyjo","Enders Game"
"Arcelia","The Quilter\'s Apprentice"
"Nona","The Mummy or Ramses the Damned"
"Ferdinand","Anthem"
"Shonda","U.S.S. Seawolf"
"Yael","Lysistrata"
"Jayvon","Flashforward"
"Rhianon","The Blind Assassin"
"Lilah","Bridget Jones\'s Diary"
"Toddrick","Something Wicked This Way Comes"
"Breanda","Under the Lake"
"Julianne","Breathing Lessons"
"Coralee","The Firm"
"Harrison","The Cat Who Wasn\'t There"
"Jobeth","Fish Caught In Time the Search for The"
"Paula","Xanth 15: The Color of Her Panties"
"Adam","The Far Side Observer"
"Noga","Truth, The"
"Tony","The Thorn Birds"
"Tatyanna","Confessions of a Failed Southern Lady"
"Jani","Gods and Generals"
"Daniela","Giovanni\'s Room"
"Kaliana","Clear and Present Danger"
"Neha","My Fair Viking"
"James","The Client"
"Annakate","Fat Chance"
"Trayvon","The Bonesetter\'s Daughter"
"Arturo","Tune in Anytime"
"Jair","Last Man Down: A New York City Fire Chief and the Collapse of the World Trade Center"
"Luciano","The Eye of the Tiger"
"Anthony","Advanced Perl Programming"
"Tyeson","All Creatures Great and Small"
"Denyse","Wicked: The Life and Times of the Wicked Witch of the West"
"Tenoch","Wicked: The Life and Times of the Wicked Witch of the West"
"James","Lakota Woman"
"Lucca","Clifford\'s Sports Day"
"Mina","Bitten"
"Antonio","Gerald\'s Game"
"Blong","Tell Me Lies"
"Don","The Bonesetter\'s Daughter"
"Jeni","Seduction of Peter S"
"David","Hidden Riches"
"Nassir","Lust for Life"
"Ahron","The House of the Spirits"
"James","Come the Spring"
"Athel","Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood For Jesus, the Ultimate Jesus Freaks"
"Chancey","Give a Boy a Gun"
"Evelyn","As Long As Life: Memoirs of a Frontier Woman Doctor"
"Meyer","Bluegate Fields"
"Domingo","Monday Mourning:  A Novel"
"Mikayla","The Cider House Rules"
"Nevada","Murder Boogies with Elvis"
"Kyle","Geek Love"
"Lori","Anthem"
"Norris","The Janson Directive"
"Dylan","Mrs. Piggle-Wiggle\'s Magic"
"Messiah","Wicked: The Life and Times of the Wicked Witch of the West"
"Garey","Les Thanatonautes"
"Trever","Complications: A Surgeon\'s Notes on an Imperfect Science"
"Shamyia","Over the Top With Jim"
"Ronald","The Elements of Style, Fourth Edition"
"Gabriel","!Yo!"
"Lucill","The Hound of the Baskervilles"
"Meara","Louisa Elliott"
"Soledad","Leonard Maltin\'s Movie and Video Guide 1996"
"Wyatte","Finding Moon"
"Dieter","Grand Avenue"
"Adrina","Postmortem"
"Margaret","House of Leaves"
"Edie","Mystic River"
"Frederick","Heaven, Texas"
"Alberto","The Cider House Rules"
"Khadijah","Harry Potter und die Kammer des Schreckens"
"Tabatha","The Darwin Awards: Evolution in Action"
"Franchesca","Hamlet - Othello - Macbeth"
"Laymond","The Summons"
"Lyndy","Jackdaws"
"James","The Short Forever"
