name,book,rating
"Channon","Dave Barry\'s Bad Habits a 100% Fact-Free Book",5
"Boe","It\'s Not About the Bike: My Journey Back to Life",4
"Deston","People Like Us",2
"Jahniya","Purple Cow: Transform Your Business by Being Remarkable",3
"Andrew","Annie\'s Song",2
"Tina","I\'ll Be Watching You",3
"Raul","The Hero and the Crown",4
"Sarah","One Night of Scandal",4
"Tamiah","A Heartbreaking Work of Staggering Genius",3
"Brooklynn","Fat Ollie\'s Book:  A Novel of the 87th Precinct",4
"Treveon","We Were the Mulvaneys",4
"Barry","Betrayal in Death",5
"Makayla","Retribution",4
"Jaiden","America\'s Heroes: Inspiring Stories of Courage, Sacrifice and Patriotism",5
"Jaheim","Die Firma. Roman.",2
"Richard","The Eyes of the Dragon",3
"Solomon","Pattern Recognition",3
"Ina","A Handful of Manhood",3
"Cindy","Human Croquet",5
"Nannie","Monkey Wrench Gang",4
"Michael","Rumpole Rests His Case",5
"Hailey","The Phantom of Manhattan",3
"Emillia","A Confederacy of Dunces",5
"Ladonna","A Prayer for Owen Meany",5
"Lesly","Mother Grimm",3
"Burdette","The Man Who Ate the 747",4
"James","Triplets",4
"James","My Lady Pirate",4
"Haide","Saltad Todos!/Jump",5
"Jeffrey","Molly Ivins Can\'t Say That, Can She?",5
"Leah","The Color Purple",5
"Frederick","Heaven, Texas",4
"Zion","This Boy\'s Life: A Memoir",4
"Anahy","Dress Your Family in Corduroy and Denim",4
"Margaret","In the Company of Others",3
"Demarcus","Dilbert Fugitive From The Cubicle Police",5
"James","Man Who Listens to Horses Notes",4
"Huy","Bridget Jones\'s Guide to Life",4
"Curtis","Final Victim",4
"Carlo","I\'m Not Really Here",4
"Joseph","The Cereal Murders",3
"Lyndon","The Indispensable Calvin And Hobbes",4
"Maia","Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood For Jesus, the Ultimate Jesus Freaks",5
"Kaylynn","Gridlock",4
"Yang","The Moosewood Cookbook",4
"Marilynne","The Burden of Proof",4
"John","Kentucky Heat",4
"William","Hard Frost",3
"Ernestine","Snow White, Blood Red",4
"James","LA Silence De LA Mer",1
"Sheila","Girls on the Verge",3
"Lileigh","The Secret Life of Bees",4
"Linda","Indian Killer",5
"Kristin","Kaaterskill Falls",4
"Fielding","Dark Lady",3
"Elgin","The Wish List",5
"Shae","Good Omens",4
"Bryson","Infinity Beach",4
"Tarisha","Ravage",3
"Lajuan","The Alienist",2
"Keyon","The Puzzle Bark Tree",3
"Gust","Dave Barry in Cyberspace",2
"Akram","It\'s Not About the Bike: My Journey Back to Life",2
"Alison","The World According to Garp",5
"Alpha","La grammaire est une chanson douce",5
"Fanny","Archer\'s Goon",3
"Olin","The Cat Who Could Read Backwards",3
"Mark","Send Bygraves",4
"Tesla","Moby Dick or the White Whale",5
"Joann","The Dragon Knight",3
"Bernadette","The Fig Eater",4
"Tyrin","Gal: A True Life",5
"Christia","The Tolkien Reader",3
"Jaylan","Five Quarters of the Orange",5
"James","Colter\'s Wife",4
"Barry","Dark Prince",5
"Trenda","A Lesson Before Dying",3
"Drinda","The Secret Life of Bees",3
"Jolaine","The Summons",2
"Jeremy","Crocodile on the Sandbank",5
"Rudolph","The Chronicles of Narnia Boxed Set",3
"Darvin","Good in Bed",3
"Cyan","The Ice Limit",3
"Josilyn","Certain Prey",3
"Sarah","My Favorite Bride",4
"Angelina","Another Roadside Attraction",5
"Farrah","Cameo Lake",2
